Type: 1, Extra Length: 10
Extra Bytes:    5 168 178 144  62 137  43 104  12   0
Id: 121131 U:    1 X:   32 Y:   96 W:   32 H:   32
Id: 121132 U:    1 X:   64 Y:   96 W:   32 H:   32
Id: 121133 U:    1 X:   96 Y:   96 W:   32 H:   32
Id: 121134 U:    1 X:  128 Y:   96 W:   32 H:   32
Id: 121135 U:    1 X:  160 Y:   96 W:   32 H:   32
Id: 121136 U:    1 X:  192 Y:   96 W:   32 H:   32
Id: 121137 U:    1 X:  224 Y:   96 W:   32 H:   32
Id: 121138 U:    1 X:  256 Y:   96 W:   32 H:   32
Id: 121139 U:    1 X:  288 Y:   96 W:   32 H:   32
Id: 121140 U:    1 X:    0 Y:  128 W:   32 H:   32
Id: 121141 U:    1 X:   32 Y:  128 W:   32 H:   32
Id: 121142 U:    1 X:   64 Y:  128 W:   32 H:   32
Id: 121143 U:    1 X:   96 Y:  128 W:   32 H:   32
Id: 121144 U:    1 X:  128 Y:  128 W:   32 H:   32
Id: 121145 U:    1 X:  160 Y:  128 W:   32 H:   32
Id: 121146 U:    1 X:  192 Y:  128 W:   32 H:   32
Id: 121147 U:    1 X:  224 Y:  128 W:   32 H:   32
Id: 121148 U:    1 X:  256 Y:  128 W:   32 H:   32
Id: 121149 U:    1 X:  288 Y:  128 W:   32 H:   32
Id: 121150 U:    1 X:    0 Y:  160 W:   32 H:   32
Id: 121151 U:    1 X:   32 Y:  160 W:   32 H:   32
Id: 121152 U:    1 X:   64 Y:  160 W:   32 H:   32
Id: 121153 U:    1 X:   96 Y:  160 W:   32 H:   32
Id: 121154 U:    1 X:  128 Y:  160 W:   32 H:   32
Id: 121155 U:    1 X:  160 Y:  160 W:   32 H:   32
Id: 121156 U:    1 X:  192 Y:  160 W:   32 H:   32
Id: 121157 U:    1 X:  224 Y:  160 W:   32 H:   32
Id: 121158 U:    1 X:  256 Y:  160 W:   32 H:   32
Id: 121159 U:    1 X:  288 Y:  160 W:   32 H:   32
Id: 121160 U:    1 X:    0 Y:  192 W:   32 H:   32
Id: 121161 U:    1 X:   32 Y:  192 W:   32 H:   32
Id: 121162 U:    1 X:   64 Y:  192 W:   32 H:   32
Id: 121163 U:    1 X:   96 Y:  192 W:   32 H:   32
Id: 121164 U:    1 X:  128 Y:  192 W:   32 H:   32
Id: 121165 U:    1 X:  160 Y:  192 W:   32 H:   32
Id: 121166 U:    1 X:  192 Y:  192 W:   32 H:   32
Id: 121167 U:    1 X:  224 Y:  192 W:   32 H:   32
Id: 121168 U:    1 X:  256 Y:  192 W:   32 H:   32
Id: 121169 U:    1 X:  288 Y:  192 W:   32 H:   32
Id: 121170 U:    1 X:    0 Y:  224 W:   32 H:   32
Id: 121171 U:    1 X:   32 Y:  224 W:   32 H:   32
Id: 121172 U:    1 X:   64 Y:  224 W:   32 H:   32
Id: 121173 U:    1 X:   96 Y:  224 W:   32 H:   32
Id: 121174 U:    1 X:  128 Y:  224 W:   32 H:   32
Id: 121175 U:    1 X:  160 Y:  224 W:   32 H:   32
Id: 121176 U:    1 X:  192 Y:  224 W:   32 H:   32
Id: 121177 U:    1 X:  224 Y:  224 W:   32 H:   32
Id: 121178 U:    1 X:  256 Y:  224 W:   32 H:   32
Id: 121179 U:    1 X:  288 Y:  224 W:   32 H:   32
Id: 121180 U:    1 X:    0 Y:  256 W:   32 H:   32
Id: 121181 U:    1 X:   32 Y:  256 W:   32 H:   32
Id: 121182 U:    1 X:   64 Y:  256 W:   32 H:   32
Id: 121183 U:    1 X:   96 Y:  256 W:   32 H:   32
Id: 121184 U:    1 X:  128 Y:  256 W:   32 H:   32
Id: 121185 U:    1 X:  160 Y:  256 W:   32 H:   32
Id: 121186 U:    1 X:  192 Y:  256 W:   32 H:   32
Id: 121187 U:    1 X:  224 Y:  256 W:   32 H:   32
Id: 121188 U:    1 X:  256 Y:  256 W:   32 H:   32
Id: 121189 U:    1 X:  288 Y:  256 W:   32 H:   32
Id: 121190 U:    1 X:    0 Y:  288 W:   32 H:   32
Id: 121191 U:    1 X:   32 Y:  288 W:   32 H:   32
Id: 121192 U:    1 X:   64 Y:  288 W:   32 H:   32
Id: 121193 U:    1 X:   96 Y:  288 W:   32 H:   32
Id: 121194 U:    1 X:  128 Y:  288 W:   32 H:   32
Id: 121195 U:    1 X:  160 Y:  288 W:   32 H:   32
Id: 121196 U:    1 X:  192 Y:  288 W:   32 H:   32
Id: 121197 U:    1 X:  224 Y:  288 W:   32 H:   32
Id: 121198 U:    1 X:  256 Y:  288 W:   32 H:   32
Id: 121199 U:    1 X:  288 Y:  288 W:   32 H:   32
U: 2123
