Type: 1, Extra Length: 10
Extra Bytes:  198 105 115  81 255  74 236  41 205
Id: 121134 X:  128 Y:   96 W:   32 H:   32
Id: 121135 X:  160 Y:   96 W:   32 H:   32
Id: 121136 X:  192 Y:   96 W:   32 H:   32
Id: 121137 X:  224 Y:   96 W:   32 H:   32
Id: 121138 X:  256 Y:   96 W:   32 H:   32
Id: 121139 X:  288 Y:   96 W:   32 H:   32
Id: 121140 X:    0 Y:  128 W:   32 H:   32
Id: 121141 X:   32 Y:  128 W:   32 H:   32
Id: 121142 X:   64 Y:  128 W:   32 H:   32
Id: 121143 X:   96 Y:  128 W:   32 H:   32
Id: 121144 X:  128 Y:  128 W:   32 H:   32
Id: 121145 X:  160 Y:  128 W:   32 H:   32
Id: 121146 X:  192 Y:  128 W:   32 H:   32
Id: 121147 X:  224 Y:  128 W:   32 H:   32
Id: 121148 X:  256 Y:  128 W:   32 H:   32
Id: 121149 X:  288 Y:  128 W:   32 H:   32
Id: 121150 X:    0 Y:  160 W:   32 H:   32
Id: 121151 X:   32 Y:  160 W:   32 H:   32
Id: 121152 X:   64 Y:  160 W:   32 H:   32
Id: 121153 X:   96 Y:  160 W:   32 H:   32
Id: 121154 X:  128 Y:  160 W:   32 H:   32
Id: 121155 X:  160 Y:  160 W:   32 H:   32
Id: 121156 X:  192 Y:  160 W:   32 H:   32
Id: 121157 X:  224 Y:  160 W:   32 H:   32
Id: 121158 X:  256 Y:  160 W:   32 H:   32
Id: 121159 X:  288 Y:  160 W:   32 H:   32
Id: 121160 X:    0 Y:  192 W:   32 H:   32
Id: 121161 X:   32 Y:  192 W:   32 H:   32
Id: 121162 X:   64 Y:  192 W:   32 H:   32
Id: 121163 X:   96 Y:  192 W:   32 H:   32
Id: 121164 X:  128 Y:  192 W:   32 H:   32
Id: 121165 X:  160 Y:  192 W:   32 H:   32
Id: 121166 X:  192 Y:  192 W:   32 H:   32
Id: 121167 X:  224 Y:  192 W:   32 H:   32
Id: 121168 X:  256 Y:  192 W:   32 H:   32
Id: 121169 X:  288 Y:  192 W:   32 H:   32
Id: 121170 X:    0 Y:  224 W:   32 H:   32
Id: 121171 X:   32 Y:  224 W:   32 H:   32
Id: 121172 X:   64 Y:  224 W:   32 H:   32
Id: 121173 X:   96 Y:  224 W:   32 H:   32
Id: 121174 X:  128 Y:  224 W:   32 H:   32
Id: 121175 X:  160 Y:  224 W:   32 H:   32
Id: 121176 X:  192 Y:  224 W:   32 H:   32
Id: 121177 X:  224 Y:  224 W:   32 H:   32
Id: 121178 X:  256 Y:  224 W:   32 H:   32
Id: 121179 X:  288 Y:  224 W:   32 H:   32
Id: 121180 X:    0 Y:  256 W:   32 H:   32
Id: 121181 X:   32 Y:  256 W:   32 H:   32
Id: 121182 X:   64 Y:  256 W:   32 H:   32
Id: 121183 X:   96 Y:  256 W:   32 H:   32
Id: 121184 X:  128 Y:  256 W:   32 H:   32
Id: 121185 X:  160 Y:  256 W:   32 H:   32
Id: 121186 X:  192 Y:  256 W:   32 H:   32
Id: 121187 X:  224 Y:  256 W:   32 H:   32
Id: 121188 X:  256 Y:  256 W:   32 H:   32
Id: 121189 X:  288 Y:  256 W:   32 H:   32
Id: 121190 X:    0 Y:  288 W:   32 H:   32
Id: 121191 X:   32 Y:  288 W:   32 H:   32
Id: 121192 X:   64 Y:  288 W:   32 H:   32
Id: 121193 X:   96 Y:  288 W:   32 H:   32
Id: 121194 X:  128 Y:  288 W:   32 H:   32
Id: 121195 X:  160 Y:  288 W:   32 H:   32
Id: 121196 X:  192 Y:  288 W:   32 H:   32
Id: 121197 X:  224 Y:  288 W:   32 H:   32
Id: 121198 X:  256 Y:  288 W:   32 H:   32
Id: 121199 X:  288 Y:  288 W:   32 H:   32
U: 2123
